,year,location,total_house,total_house_male,total_house_female,total_people,total_people_male,total_people_female,total_people_below12,total_people_below12_male,total_people_below12_female,total_people_between12_17,total_people_between12_17_male,total_people_between12_17_female,total_people_between18_64,total_people_between18_64_male,total_people_between18_64_female,total_people_over65,total_people_over65_male,total_people_over65_female
112,2013,嘉義市,1319.0,776.0,543.0,4138.0,1990.0,2148.0,996.0,501.0,495.0,855.0,431.0,424.0,2256.0,1038.0,1218.0,31.0,20.0,11.0
113,2013,金門縣,109.0,47.0,62.0,317.0,141.0,176.0,90.0,48.0,42.0,51.0,27.0,24.0,172.0,64.0,108.0,4.0,2.0,2.0
114,2013,連江縣,38.0,29.0,9.0,129.0,64.0,65.0,33.0,15.0,18.0,20.0,9.0,11.0,73.0,38.0,35.0,3.0,2.0,1.0
115,2012,全國,88988.0,54451.0,34537.0,282019.0,138710.0,143309.0,75315.0,38567.0,36748.0,49106.0,24615.0,24491.0,154807.0,73873.0,80934.0,2791.0,1655.0,1136.0
116,2012,新北市,8210.0,4507.0,3703.0,23709.0,11239.0,12470.0,5985.0,3132.0,2853.0,3664.0,1801.0,1863.0,13751.0,6105.0,7646.0,309.0,201.0,108.0
117,2012,臺北市,3286.0,1738.0,1548.0,8772.0,4206.0,4566.0,2002.0,1059.0,943.0,916.0,455.0,461.0,5579.0,2539.0,3040.0,275.0,153.0,122.0
118,2012,臺中市,8904.0,4593.0,4311.0,28145.0,13320.0,14825.0,7186.0,3628.0,3558.0,4878.0,2482.0,2396.0,15667.0,6975.0,8692.0,414.0,235.0,179.0
119,2012,臺南市,8886.0,5468.0,3418.0,28413.0,13917.0,14496.0,6748.0,3459.0,3289.0,5378.0,2729.0,2649.0,16091.0,7614.0,8477.0,196.0,115.0,81.0
120,2012,高雄市,20042.0,12572.0,7470.0,61685.0,29936.0,31749.0,15850.0,8140.0,7710.0,10180.0,5124.0,5056.0,35260.0,16425.0,18835.0,395.0,247.0,148.0
121,2012,宜蘭縣,1413.0,850.0,563.0,3953.0,1886.0,2067.0,984.0,511.0,473.0,741.0,356.0,385.0,2190.0,992.0,1198.0,38.0,27.0,11.0
122,2012,桃園縣,1758.0,963.0,795.0,5499.0,2637.0,2862.0,1345.0,693.0,652.0,1217.0,608.0,609.0,2897.0,1316.0,1581.0,40.0,20.0,20.0
123,2012,新竹縣,778.0,432.0,346.0,2819.0,1342.0,1477.0,730.0,374.0,356.0,526.0,289.0,237.0,1506.0,647.0,859.0,57.0,32.0,25.0
124,2012,苗栗縣,1208.0,715.0,493.0,4115.0,2046.0,2069.0,1009.0,537.0,472.0,706.0,341.0,365.0,2304.0,1114.0,1190.0,96.0,54.0,42.0
125,2012,彰化縣,7868.0,5340.0,2528.0,27020.0,13454.0,13566.0,8152.0,4148.0,4004.0,4236.0,2092.0,2144.0,14454.0,7098.0,7356.0,178.0,116.0,62.0
126,2012,南投縣,4080.0,2468.0,1612.0,14792.0,7314.0,7478.0,3947.0,1982.0,1965.0,2799.0,1352.0,1447.0,7859.0,3875.0,3984.0,187.0,105.0,82.0
127,2012,雲林縣,1871.0,1380.0,491.0,6400.0,3378.0,3022.0,1720.0,898.0,822.0,1201.0,655.0,546.0,3413.0,1787.0,1626.0,66.0,38.0,28.0
128,2012,嘉義縣,2942.0,2088.0,854.0,9624.0,5074.0,4550.0,3197.0,1587.0,1610.0,1943.0,953.0,990.0,4454.0,2515.0,1939.0,30.0,19.0,11.0
129,2012,屏東縣,12520.0,8244.0,4276.0,40092.0,20658.0,19434.0,12093.0,6191.0,5902.0,7611.0,3844.0,3767.0,20197.0,10493.0,9704.0,191.0,130.0,61.0
130,2012,臺東縣,879.0,492.0,387.0,2916.0,1446.0,1470.0,829.0,447.0,382.0,470.0,232.0,238.0,1574.0,743.0,831.0,43.0,24.0,19.0
131,2012,花蓮縣,996.0,614.0,382.0,2887.0,1467.0,1420.0,813.0,398.0,415.0,655.0,313.0,342.0,1353.0,720.0,633.0,66.0,36.0,30.0
132,2012,澎湖縣,568.0,425.0,143.0,2006.0,1034.0,972.0,559.0,308.0,251.0,296.0,144.0,152.0,1134.0,575.0,559.0,17.0,7.0,10.0
133,2012,基隆市,1009.0,564.0,445.0,3401.0,1623.0,1778.0,686.0,334.0,352.0,535.0,257.0,278.0,2024.0,961.0,1063.0,156.0,71.0,85.0
134,2012,新竹市,503.0,255.0,248.0,1665.0,772.0,893.0,396.0,195.0,201.0,315.0,170.0,145.0,945.0,398.0,547.0,9.0,9.0,0.0
135,2012,嘉義市,1163.0,685.0,478.0,3806.0,1819.0,1987.0,1001.0,503.0,498.0,787.0,393.0,394.0,1996.0,911.0,1085.0,22.0,12.0,10.0
136,2012,金門縣,74.0,35.0,39.0,210.0,95.0,115.0,64.0,32.0,32.0,32.0,16.0,16.0,112.0,46.0,66.0,2.0,1.0,1.0
137,2012,連江縣,30.0,23.0,7.0,90.0,47.0,43.0,19.0,11.0,8.0,20.0,9.0,11.0,47.0,24.0,23.0,4.0,3.0,1.0
