,時間,縣市,一般及機車竊盜,汽車竊盜,贓物,賭博,重傷害,一般傷害,詐欺背信,妨害自由,故意殺人,過失致死,駕駛過失,妨害家庭及婚姻,妨害風化,強制性交,共同強制性交,對幼性交,性交猥褻,重大恐嚇取財,一般恐嚇取財,擄人勒贖,侵占,偽造文書印文,第一級毒品,第二級毒品,第三級毒品,第四級毒品,毀棄損壞,妨害公務,妨害電腦使用,強盜,搶奪,內亂,重利,竊佔,偽造有價證券,妨害秩序,違反藥事法,違反國家總動員法,違反森林法,違反著作權法,違反專利法,違反商標法,公共危險,侵害墳墓屍體,妨害名譽,違反就業服務法,違反選罷法,妨害秘密,遺棄,違反貪污治罪條例,瀆職,懲治走私條例,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈藥刀械管制條例,其他_x,其他_y,總計
93,96年 2月,臺北市,1496,115,16,34,0,86,233,26,2,0,88,4,19,18,1,5,3,0,19,0,41,43,256,330,9,0,16,6,10,11,13,0,6,12,2,0,0,0,0,18,0,14,479,0,22,0,2,1,2,0,0,0,3,3,0,0,11,0,0,0,21,0,86,3582
94,96年 3月,臺北市,1176,94,7,43,0,149,321,39,7,6,134,5,52,23,5,1,4,0,38,2,66,74,243,305,11,0,31,7,10,26,7,0,20,13,3,1,2,0,0,26,0,17,645,0,36,0,1,2,0,0,0,0,7,3,0,0,15,0,0,0,33,0,158,3868
95,96年 4月,臺北市,1106,88,14,25,0,120,522,35,2,2,103,5,36,14,1,4,7,0,26,1,47,39,188,210,7,0,28,6,8,4,10,0,10,6,0,0,2,0,0,26,0,24,516,0,34,0,1,5,0,0,1,0,6,1,0,3,15,1,0,0,13,0,142,3464
96,96年 5月,臺北市,1109,98,10,23,0,144,464,34,6,1,124,11,53,18,2,2,5,0,23,0,67,68,191,273,3,0,31,5,10,8,9,0,13,8,2,0,0,0,0,33,0,12,575,0,42,0,0,2,7,0,0,1,0,2,0,1,19,0,0,0,29,0,163,3701
97,96年 6月,臺北市,1102,110,21,13,0,131,554,41,3,3,116,9,36,20,1,2,7,0,46,1,72,63,192,194,5,0,27,7,7,9,9,0,14,8,1,0,4,0,0,37,0,20,518,0,46,0,0,1,2,0,0,1,5,1,0,0,11,0,0,0,12,0,162,3644
98,96年 7月,臺北市,1112,123,10,17,0,147,449,61,7,4,135,7,67,22,2,0,18,0,130,0,81,69,248,273,9,0,27,6,14,9,18,0,10,5,1,0,0,0,0,35,0,26,563,0,41,2,0,2,4,0,0,0,3,1,0,0,16,0,0,0,19,0,193,3986
99,96年 8月,臺北市,1188,134,14,14,0,136,447,38,3,0,129,13,45,3,1,2,6,0,30,1,83,61,216,266,6,0,33,6,11,4,22,0,19,8,1,0,0,0,0,38,0,16,516,0,35,0,0,5,5,0,0,0,1,1,0,0,12,0,0,0,17,0,162,3748
100,96年 9月,臺北市,1124,127,14,17,3,130,475,47,3,1,122,7,54,12,1,1,8,0,20,1,77,75,177,236,10,0,23,7,14,5,13,0,6,8,1,0,0,0,0,34,0,6,528,0,40,0,0,3,3,0,0,1,2,3,0,0,12,1,0,0,15,0,155,3622
101,96年 10月,臺北市,1201,166,16,12,1,151,584,52,6,2,140,10,64,19,0,1,4,0,74,0,76,76,232,284,4,0,32,6,15,6,15,0,14,7,3,1,0,0,0,28,0,14,534,0,53,0,0,3,1,0,0,0,2,0,0,2,15,0,0,0,8,0,144,4078
102,96年 11月,臺北市,1187,103,14,16,1,124,363,38,7,0,127,11,53,12,1,0,7,0,33,1,70,64,213,264,5,0,29,7,10,9,16,0,4,6,0,1,0,0,0,26,0,12,490,0,39,0,0,1,3,0,0,0,1,1,0,1,16,0,0,0,21,0,128,3535
103,96年 12月,臺北市,1076,90,18,17,0,132,511,41,6,2,130,5,48,13,1,4,7,0,14,1,70,61,204,194,8,1,26,8,8,9,14,0,3,5,3,0,1,0,0,45,0,16,534,0,38,1,1,4,3,0,1,0,2,0,0,0,5,0,0,1,9,0,95,3486
105,97年 1月,臺北市,1222,137,24,31,1,145,553,42,4,1,130,9,47,24,1,1,3,0,110,1,69,77,309,340,10,0,50,7,7,9,19,0,10,13,3,0,1,0,0,25,0,8,409,0,50,0,8,1,1,0,1,0,2,0,0,0,14,0,0,0,21,0,112,4062
106,97年 2月,臺北市,992,122,30,38,1,108,431,28,5,0,85,7,86,18,0,3,2,0,36,1,59,54,203,285,4,0,16,6,5,8,17,0,32,3,1,0,0,0,0,10,0,7,333,0,24,0,0,3,2,0,0,0,10,0,0,0,11,0,1,0,21,0,82,3190
107,97年 3月,臺北市,1061,102,12,21,1,132,554,54,8,0,138,7,111,16,1,2,2,0,31,1,70,79,229,282,7,0,19,4,14,9,2,0,5,7,1,0,0,0,0,20,0,10,451,0,43,0,0,1,6,0,0,0,16,0,0,0,7,0,1,0,29,0,130,3696
108,97年 4月,臺北市,1058,88,23,30,0,110,452,43,7,1,112,2,111,5,2,3,5,0,59,0,80,70,183,217,2,0,26,5,10,4,9,0,4,4,2,1,0,0,0,20,0,12,430,1,32,0,0,1,3,0,0,0,2,1,0,0,11,0,1,1,22,0,89,3354
109,97年 5月,臺北市,1185,129,21,20,2,130,546,45,6,2,146,9,112,23,1,3,5,0,41,1,86,59,169,254,6,0,22,10,12,11,16,0,33,4,4,1,2,0,0,11,0,7,358,0,29,0,1,4,1,1,0,0,0,0,0,0,12,0,0,0,15,0,57,3612
110,97年 6月,臺北市,1109,84,18,21,0,158,559,58,4,0,124,6,92,16,0,1,4,1,66,1,111,60,136,209,7,0,42,10,11,8,6,0,12,11,1,1,3,0,0,23,0,12,515,0,46,0,0,4,4,1,1,0,1,2,0,0,11,0,0,0,13,0,68,3651
